始発駅,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮,三宮
行先駅,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港
三宮2番線,5:40,6:00,6:10,6:20,6:30,6:40,6:50,7:00,7:10,7:20,7:30,7:40,7:50,8:00,8:10,8:20,8:30,8:40,8:50,9:00,9:10,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:40,18:50,19:00,19:10,19:20,19:30,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:13,21:20,21:25,21:30,21:40,21:50,22:00,22:15,22:30,22:45,23:00,23:15,0:00
医療センター(市民病院前)1番線,5:51,6:11,6:21,6:31,6:41,6:51,7:01,7:13,7:23,7:33,7:43,7:53,8:03,8:13,8:23,8:33,8:43,8:53,9:03,9:13,9:23,9:33,9:43,9:53,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,17:03,17:13,17:23,17:33,17:43,17:53,18:03,18:13,18:23,18:33,18:43,18:53,19:03,19:13,19:23,19:33,19:43,19:53,20:03,20:13,20:23,20:33,20:43,20:53,21:03,21:13,21:23,21:25,21:33,21:38,21:43,21:53,22:03,22:13,22:27,22:41,22:57,23:11,23:27,0:12
